Parcelle,n_cep,symptomes,date,picture_name,position_cm,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-5,69-81,ES2/4,29/7/21,D08,"15,5",transition,transition,transition,transition,"7,363","1,423",724,,,,,,,,"2,15",0,"291,593,101",0,"193,263,615","95,137,976",0,0,"La coupe n'est pas entière. Le perimètre de la partie coupé n'a pas été pris en compte. Cependant, sur la coupe inférieure cette partie semble disfonctionnel."
III-5,69-81,ES2/4,29/7/21,D09,"17,5",trunk,trunk,S,trunk_S,"8,052","3,754",,,,,,,,,"3,75",0,"466,219,573",0,"466,219,573",0,0,0,
III-5,69-81,ES2/4,29/7/21,D10,19,trunk,trunk,S,trunk_S,"8,137","3,725",,,,,,,,,"3,73",0,"457,785,425",0,"457,785,425",0,0,0,
III-5,69-81,ES2/4,29/7/21,D11,"21,5",trunk,trunk,S,trunk_S,"8,242","3,336",,,,,,,,,"3,34",0,"404,756,127",0,"404,756,127",0,0,0,
III-5,69-81,ES2/4,29/7/21,D12,"23,5",trunk,trunk,S,trunk_S,"8,93","3,187",,,,,,,,,"3,19",0,"356,886,898",0,"356,886,898",0,0,0,
III-5,69-81,ES2/4,29/7/21,D13,"25,5",trunk,trunk,S,trunk_S,"8,307","3,485",,,,,,,,,"3,49",0,"419,525,701",0,"419,525,701",0,0,0,
III-5,69-81,ES2/4,29/7/21,D14,"27,5",trunk,trunk,S,trunk_S,"9,497","4,077",,,,352,,,,,"4,08",352,"445,817,387","37,064,336","445,817,387",0,0,0,
III-5,69-81,ES2/4,29/7/21,D15,"29,5",trunk,trunk,S,trunk_S,"9,172","4,215",,,,,,,,,"4,22",0,"459,550,807",0,"459,550,807",0,0,0,
III-5,69-81,ES2/4,29/7/21,D16,32,GU,GU,S,trunk_S,"10,439","5,269",,,,,,,,,"5,27",0,"504,741,834",0,"504,741,834",0,0,0,
III-5,69-81,ES2/4,29/7/21,D17,34,GU,GU,S,trunk_S,"17,292","8,237",,,,"3,647",,,,,"8,24","3,647","603,664,346","210,906,778","603,664,346",0,0,0,
III-5,69-81,ES2/4,29/7/21,D18,"35,5",GU,GU,S,trunk_S,"17,052","10,041",,,,535,,,,,"10,04",535,"607,919,114","31,374,619","607,919,114",0,0,0,une partie de la zone disfonctionnel possède un fin liseré rose
III-5,69-81,ES2/4,29/7/21,D19,"37,5",rootstock,rootstock,S,trunk_S,"14,403","5,690",,,,959,,,,,"5,69",959,"423,237,132","66,583,351","423,237,132",0,0,0,
III-5,69-81,ES2/4,29/7/21,D20,39,rootstock,rootstock,S,trunk_S,"9,555","3,868",,,,,,,,,"3,87",0,"404,814,233",0,"404,814,233",0,0,0,
III-5,69-81,ES2/4,29/7/21,D21,41,rootstock,rootstock,S,trunk_S,"8,411","2,633",,,,,,,,,"2,63",0,"313,042,444",0,"313,042,444",0,0,0,
III-5,69-81,ES2/4,29/7/21,D22,43,rootstock,rootstock,S,trunk_S,"8,148","1,782",,,,,,,,,"1,78",0,"218,703,976",0,"218,703,976",0,0,0,
III-5,69-81,ES2/4,29/7/21,D23,"44,5",rootstock,rootstock,S,trunk_S,"7,984","1,538",,,,,,,,,"1,54",0,"192,635,271",0,"192,635,271",0,0,0,
