Parcelle,n_cep,symptomes,date,picture_name,cep_name,position_cm,distance_for_GU,position_organ,position_organ_2,symptom,organ+symptomes,total_perimeter_cm,dysfunctional_perimeter_cm_1,dysfunctional_perimeter_cm_2,dysfunctional_perimeter_cm_3,dysfunctional_perimeter_cm_4,necrotic_perimeter_1,necrotic_perimeter_2,necrotic_perimeter_3,necrotic_perimeter_4,necrotic_perimeter_5,Total_dysfunctional_perimeter,Total_necrotic_perimeter,Share_dysfunctional_perimeter,Share_necrotic_perimeter,Principal,Second,Third,Fourth,comment
III-6,32-13,AS,30/7/21,U23,32-13U,39,-4,GU,GU,AS,,"25,371",,,,,"15,793",,,,,0,"15,793",0,"622,482,362",0,0,0,0,
III-6,32-13,AS,30/7/21,U24,32-13U,41,-6,GU,GU,AS,,21.36,0.125,,,,"14,643",,,,,0.125,"14,643","18,609,498","685,533,708","18,609,498",0,0,0,
III-6,32-13,AS,30/7/21,U25,32-13U,43,-8,rootstock,rootstock,AS,,16.56,,,,,"10,455",144,,,,0,"10,599",0,"640,036,232",0,0,0,0,
III-6,32-13,AS,30/7/21,U26,32-13U,45,-10,rootstock,rootstock,AS,,"15,005",,,,,8.81,,,,,0,8.81,0,"587,137,621",0,0,0,0,
III-6,32-13,AS,30/7/21,U27,32-13U,47,-12,rootstock,rootstock,AS,,"15,499",,,,,"8,967",0.37,,,,0,"9,337",0,"602,425,963",0,0,0,0,
III-6,32-13,AS,30/7/21,U28,32-13U,49,-14,rootstock,rootstock,AS,,"15,835",0.54,,,,"8,495",207,,,,0.54,"8,702","7,570,447","549,542,153","7,570,447",0,0,0,
III-6,32-13,AS,30/7/21,U29,32-13U,51,-16,rootstock,rootstock,AS,,14.79,,,,,"6,948","1,087",,,,0,"8,035",0,"543,272,481",0,0,0,0,
III-6,32-13,AS,30/7/21,U30,32-13U,53,-18,rootstock,rootstock,AS,,13.13,0.105,,,,"6,496",,,,,0.105,"6,496","15,827,555","494,744,859","15,827,555",0,0,0,
III-6,33-47,ES3,23/7/21,U1,33-47U,1,76,arm,U_arm,S,,"19,056","2,118",,,,"4,252",,,,,2118,"4,252","143,069,441","223,131,822","143,069,441",0,0,0,
III-6,33-47,ES3,23/7/21,U2,33-47U,3,74,arm,U_arm,S,,"12,578","1,264",,,,"1,584",,,,,1264,"1,584","114,971,803","125,934,171","114,971,803",0,0,0,
III-6,33-47,ES3,23/7/21,U3,33-47U,5,72,arm,U_arm,S,,"10,409",0.579,,,,917,,,,,0.579,917,"60,998,736","88,096,839","60,998,736",0,0,0,
III-6,33-47,ES3,23/7/21,U4,33-47U,7,70,arm,U_arm,S,,"12,942",0.425,,,,"1,657","1,639",,,,0.425,"3,296","44,059,714","254,674,703","44,059,714",0,0,0,
III-6,33-47,ES3,23/7/21,U5,33-47U,9,68,arm,U_arm,S,,NA,NA,NA,NA,NA,NA,NA,,,,0,0,NA,NA,NA,NA,NA,NA,
III-6,33-47,ES3,23/7/21,U6,33-47U,11,66,arm,U_arm,S,,NA,NA,NA,NA,NA,NA,NA,,,,0,0,NA,NA,NA,NA,NA,NA,
III-6,33-47,ES3,23/7/21,U7,33-47U,13,64,arm,U_arm,S,,NA,NA,NA,NA,NA,NA,NA,,,,0,0,NA,NA,NA,NA,NA,NA,
III-6,33-47,ES3,23/7/21,U8,33-47U,15,62,arm,U_arm,S,,"22,052",0.872,,,,"11,721",,,,,0.872,"11,721","84,406,156","531,516,416","84,406,156",0,0,0,
III-6,33-47,ES3,23/7/21,U9,33-47U,18,59,arm,U_arm,S,,"16,791",0.389,,,,"7,977",,,,,0.389,"7,977","44,134,332","475,075,934","44,134,332",0,0,0,
III-6,33-47,ES3,23/7/21,U10,33-47U,20,57,arm,U_arm,S,,"16,841",0.803,0.46,,,"6,914",,,,,1.263,"6,914","85,524,328","410,545,692","80,890,501","6,044,678",0,0,
III-6,33-47,ES3,23/7/21,U11,33-47U,23,54,arm,U_arm,S,,"16,773",0.916,,,,"2,943",,,,,0.916,"2,943","66,232,827","175,460,562","66,232,827",0,0,0,
III-6,33-47,ES3,23/7/21,U12,33-47U,26,51,arm,U_arm,S,,"19,833","1,005",,,,,,,,,1005,0,"50,673,121",0,"50,673,121",0,0,0,
III-6,33-47,ES3,23/7/21,U13,33-47U,28,49,arm,U_arm,S,,"21,267","1,142",,,,1.68,"1,729",,,,1142,"3,409","6,394,893","160,295,293","6,394,893",0,0,0,
III-6,33-47,ES3,23/7/21,U14,33-47U,31,46,arm,U_arm,S,,"21,307","1,041",,,,"2,465",0.51,,,,1041,"2,975","56,785,948","139,625,475","56,785,948",0,0,0,
III-6,33-47,ES3,23/7/21,U15,33-47U,33,44,arm,U_arm,S,,"22,881",0.839,,,,"4,114","2,103",,,,0.839,"6,217","50,348,056","271,710,153","50,348,056",0,0,0,
III-6,33-47,ES3,23/7/21,U16,33-47U,35,42,arm,U_arm,S,,"22,128","1,031",,,,"4,131",522,,,,1031,"4,653","58,998,569","210,276,573","58,998,569",0,0,0,
III-6,33-47,ES3,23/7/21,U17,33-47U,37,40,arm,U_arm,S,,"21,035",0.82,,,,"3,184",,,,,0.82,"3,184","45,935,802","15,136,677","45,935,802",0,0,0,
III-6,33-47,ES3,23/7/21,U18,33-47U,38,39,arm,U_arm,S,,"19,873",0.341,,,,"2,162",,,,,0.341,"2,162","19,253,571","108,790,822","19,253,571",0,0,0,
III-6,33-47,ES3,23/7/21,U19,33-47U,40,37,transition,transition,transition,,"20,947",,,,,,,,,,0,0,0,0,0,0,0,0,
III-6,33-47,ES3,23/7/21,U20,33-47U,41,36,transition,transition,transition,,NA,NA,NA,NA,NA,NA,NA,,,,0,0,NA,NA,NA,NA,NA,NA,
III-6,33-47,ES3,23/7/21,U21,33-47U,43,34,transition,transition,transition,,NA,NA,NA,NA,NA,NA,NA,,,,0,0,NA,NA,NA,NA,NA,NA,
III-6,33-47,ES3,23/7/21,U22,33-47U,45,32,trunk,trunk,S,,"26,524",,0.356,,,601,,,,,0.356,601,"13,732,978","22,658,724",0,"46,780,552",0,0,
III-6,33-47,ES3,23/7/21,U23,33-47U,47,30,trunk,trunk,S,,"21,545",0.786,0.672,,,,,,,,1.458,0,"67,672,314",0,"36,481,782","88,304,862",0,0,
III-6,33-47,ES3,23/7/21,U24,33-47U,50,27,trunk,trunk,S,,"22,344",0.644,,,,"3,054",,,,,0.644,"3,054","33,385,174","136,680,988","33,385,174",0,0,0,
III-6,33-47,ES3,23/7/21,U25,33-47U,52,25,trunk,trunk,S,,"19,213",0.426,0.791,,,657,,,,,1.217,657,"65,585,255","34,195,597","22,957,534","103,942,181",0,0,
III-6,33-47,ES3,23/7/21,U26,33-47U,54,23,trunk,trunk,S,,"19,408",,0.286,,,"1,307",498,,,,0.286,"1,805","16,247,231","93,002,885",0,"37,582,129",0,0,
III-6,33-47,ES3,23/7/21,U27,33-47U,56,21,trunk,trunk,S,,"19,894",0.601,0.804,,,"1,165",,,,,1.405,"1,165","75,017,353","5,856,037","32,089,273","10,565,046",0,0,
III-6,33-47,ES3,23/7/21,U28,33-47U,58,19,trunk,trunk,S,,"19,769",0.599,"1,137",,,,,,,,1137.599,0,"87,814,255",0,"30,299,965","149,408,673",0,0,
III-6,33-47,ES3,23/7/21,U29,33-47U,61,16,trunk,trunk,S,,"20,408",0.659,0.85,,,"2,091",,,,,1.509,"2,091","82,382,486","10,245,982","35,977,507","111,695,138",0,0,
III-6,33-47,ES3,23/7/21,U30,33-47U,63,14,trunk,trunk,S,,"19,686",0.499,"1,081",,,,,,,,1081.499,0,"80,260,083",0,"25,347,963","142,049,934",0,0,
III-6,33-47,ES3,23/7/21,U31,33-47U,66,11,trunk,trunk,S,,18.08,0.629,0.749,,,,,,,,1.378,0,"76,216,814",0,"34,789,823","98,423,127",0,0,
III-6,33-47,ES3,23/7/21,U32,33-47U,69,8,trunk,trunk,S,,"17,921",0.472,0.734,,,,,,,,1.206,0,"67,295,352",0,"26,337,816","96,452,037",0,0,
III-6,33-47,ES3,23/7/21,U33,33-47U,72,5,trunk,trunk,S,,"17,571",0.485,0.396,,,"1,951",,,,,0.881,"1,951","56,402,049","111,035,229","31,049,936","52,036,794",0,0,
III-6,33-47,ES3,23/7/21,U34,33-47U,74,3,trunk,trunk,S,,"18,855",0.377,,,,4.07,,,,,0.377,4.07,"25,498,816","215,857,863","25,498,816",0,0,0,
III-6,33-47,ES3,23/7/21,U35,33-47U,76,1,trunk,trunk,S,,18.29,0.529,0.515,,,"4,038",,,,,1.044,"4,038","73,252,877","220,776,381","37,117,598","67,674,113",0,0,
III-6,33-47,ES3,23/7/21,U36,33-47U,77,0,GU,GU,S,,20.71,0.167,0.12,0.116,,"2,772",,,,,0.403,"2,772","22,466,273","133,848,382","9,309,845","15,768,725","15,243,101",0,
III-6,33-47,ES3,23/7/21,U37,33-47U,80,-3,GU,GU,S,,"22,669",,0.355,0.78,,"1,239","1,208",,,,1.135,"2,447","21,412,323","10,794,477",0,"46,649,146","10,249,671",0,
III-6,33-47,ES3,23/7/21,U38,33-47U,82,-5,GU,GU,S,,"21,586",,,,,567,,,,,0,567,0,"26,267,025",0,0,0,0,
III-6,33-47,ES3,23/7/21,U39,33-47U,84,-7,rootstock,rootstock,S,,"17,526",0.111,,,,,,,,,0.111,0,"6,333,447",0,"6,333,447",0,0,0,
III-6,33-47,ES3,23/7/21,U40,33-47U,86,-9,rootstock,rootstock,S,,"15,697",,,0.47,,114,,,,,0.47,114,"3,016,107","7,262,534",0,0,"6,176,084",0,
III-6,33-47,ES3,23/7/21,U41,33-47U,87,-10,rootstock,rootstock,S,,"15,689",,,,,"1,103",,,,,0,"1,103",0,"70,304,035",0,0,0,0,
III-6,33-47,ES3,23/7/21,U42,33-47U,90,-13,rootstock,rootstock,S,,"14,961",,,,,"1,077",,,,,0,"1,077",0,"71,987,167",0,0,0,0,
III-6,33-47,ES3,23/7/21,U43,33-47U,92,-15,rootstock,rootstock,S,,"13,892",,,,,"1,019",0.17,,,,0,"1,189",0,"85,588,828",0,0,0,0,
III-6,33-47,ES3,23/7/21,U44,33-47U,94,-17,rootstock,rootstock,S,,"15,093",,,,,0.45,93,,,,0,543,0,"35,976,943",0,0,0,0,
III-6,33-47,ES3,23/7/21,U45,33-47U,95,-18,rootstock,rootstock,S,,"13,291",,,,,,,,,,0,0,0,0,0,0,0,0,
III-6,33-47,ES3,23/7/21,U46,33-47U,97,-20,rootstock,rootstock,S,,"12,874",,,,,,,,,,0,0,0,0,0,0,0,0,
